Appezzamento,Inizio,Fine,Attività
Appezzamento 1,2024-11-18,2024-12-01,Preparazione terreno
Appezzamento 2,2024-11-18,2024-12-01,Raccolta
Appezzamento 3,2024-11-18,2024-12-01,Preparazione terreno
Appezzamento 4,2024-11-18,2024-11-24,Raccolta
Appezzamento 4,2024-11-24,2024-12-01,Preparazione terreno
Appezzamento 5,2024-11-18,2024-11-27,Raccolta
Appezzamento 5,2024-11-27,2024-12-01,Preparazione terreno
Appezzamento 6,2024-11-18,2024-12-01,Preparazione terreno
Appezzamento 6,2024-12-01,2024-12-01,Coltivazione e trattamenti
Appezzamento 7,2024-11-18,2024-12-01,Crescita
